Wine;Number of reviews;Summary
Solomon Hills Vineyard;20;Along with a fascinating nose, this bottling from the appellation's westernmost vineyard offers the rounded ripeness of cherimoya, nectarine and white peach but with a laser-sharp line of crushed sea shell and flint minerality alongside scratched lemon skin. Very light in the glass, this fascinating exploration of the underripe side of Pinot Noir shows green olive and crushed cherry tomato aromas on the nose, with prevalent bay leaf, green peppercorn and pine resin. Vanilla, saffron and other exotic yellow spices are laced amidst the dried apples, dried pineapples and just-cut lemons on the nose of this wine from a vineyard on the cool western fringe of the appellation.
Don David Reserve;20;"The palate is racy, herbal, roasted and very much tastes different than most Argentine wines because it's from Cafayate in the north; look for spice, tomato, herbal waves and meaty notes. A lush, layered palate is intense but doesn't hit too hard, while concentrated blackberry, licorice and spice flavors set up a peppery, minty finish that's stout and structured. Like the 2008, this is not the easiest road to run, but it is a blast of penetrating blackberry, boysenberry, heat, spice and dark minty length."
La Joya Gran Reserva;20;Dark, crusty aromas of spice cherry, mint and black olive lead to a lively, zesty palate with strong acidity and oaky, minty berry flavors mixed with notes of carob and black pepper. This is scattered and flabby on the palate, with pithy, lightly bitter citrus flavors blending with sweet mango in front of a tropical finish with papaya, mango and sugary melon notes. Earthy, woody aromas of vanilla and dried red fruits filter into a raw, scratchy, acidic palate with plum, raspberry and medicinal flavors.
del Comune di Serralunga d'Alba;20;The concentrated palate doles out juicy black cherry, crushed raspberry, sweet cake spice, tobacco and herb accompanied by firm, fine-grained tannins and a vein of fresh acidity. Enticing aromas of rose, strawberry and baking spice meld together in the glass while the creamy, delicious palate doles out juicy wild cherry, black raspberry and cinnamon. On the palate, rich black cherry, raspberry, vanilla, cocoa, balsamic herbs, sage and black pepper all come together supported by brooding tannins and brisk acidity.
Sélection;20;White fruits, caramel and light spice all come into play. Its broad features are tempered by a shot of minerality and a steel note that add a crisp texture to the tropical fruits. This is a dry and elegant style of Muscat, maintaining the grape's natural fragrance along with its acidity and refreshing green fruit flavor.
Selección Especial;20;This blend of 50% Tempranillo and 50% Syrah is rubbery and pinched on the palate, while toasty, rooty flavors of black fruits blend with herbal berry and coffee notes. Rich yet subdued on the bouquet, with elegant tobacco, lemon peel and earthy scents, this feels lush and full of heft, but it's not plodding or heavy. From the Sardon de Duero region that borders Ribera del Duero, this wine is big, minty and raisiny on the nose, with chocolate and leather aromas.
Sec;20;Aromatic of honeysuckle, fresh orange peel and rye, this dry Tokaj has all the waxy, honeyed characteristics of its sweet counterparts. Full marks to Moncontour for indicating on the label that this is a dry wine (not always the case in Vouvray). It is a crisp wine, either to be drunk now or aged for 4–5 years for the secondary flavors to develop.
Eiswein;20;A relative bargain in the stratospheric world of icewine, Loosen's 2007 boasts amazingly pure fruit essences resembling candied pineapple, peach, fruit cocktail and even some red-berry notes. This is a wine on a tight-rope walk between tropical richness and lively tartness—it is thus just made for desserts that put equally tart fruits center stage. Sultry notions of honeycomb, pine sap and something more tropical—perhaps pineapple, perhaps passion fruit—converge in an incredibly concentrated and at the same time tight and light-footed palate.
Morisoli Vineyard;20;The Morisoli Vineyard has been home to very good, ageable bottlings from the likes of Sequoia Grove and Elyse, but in the last few years, Meander has expressed its terroir best. This wine shows the soft, dusty tannins and sour red cherry fruit that the vineyard is known for, while more than four years have mellowed it to beautiful drinkability. With firm, supporting tannins, it's bone dry and rich in wild berry, pepper, bacon and cinnamon spice flavors, with just a hint of raisining in the finish.
Hybrid;20;Crisp with a taste of New Zealand grass, this wine offers pear, lemon and a pinch of fig on the finish amid layers of acidity. Bright, effusive strawberry, raspberry and boysenberry aromas and flavors seem to spread out in all directions, first in the aroma, then repeating in the flavors and finish. This blend of 75% Pinot Grigio and 15% Vermentino is a light, simple quaff with some snap to it and not much on the finish.
Genesis;20;There is a hint of residual sugar, and the alcohol is just under 13%, but the overall impression is a dry, tight style with little or no floral character. Sharply acidic, with fairly strong tannins, it seems a little tight and thin, but does have the pure fruit and some length in the finish to recommend it. Aromas of barrel spice, dark fruit and black licorice are followed by full-bodied black-fruit flavors backed by grainy tannins, with baking spice flavors lingering on the finish.
Blanc;20;A collaboration between Winemakers Elizabeth Vianna (Chimney Rock), Bryan Parker (Terlato Vineyards) and Steve Fennell (Sanford), this is a blend of Sauvignon Blanc from Napa, Chardonnay from Carneros and Viognier from Sta. Lavish yet not overdone aromas of vanilla, plumeria, dried banana and yellow peach arise from the glass in this blend of 45% Viognier, 45% Marsanne and 10% Roussanne. Spices, a hint of honey, a texture of pears and white plums—this is a rich, soft wine with a good intensity of taste and ripeness.
Temperance Hill Vineyard;20;"This deep, dark, concentrated wine builds upon black cherry, vivid acids, a touch of Meyer lemon, and a powerful midpalate that unveils some gently savory notes along the way. Aggressively herbal, dark and slatey, this arresting Pinot Noir is distinctive and powerful; it won't appeal to everyone, but those who like it will appreciate its uniqueness. Tannins are sharp and just slightly green, but the most interesting aspect is the spicy, resinous, pine needle bouquet that continues right on through the mid-palate."
Hatschbourg Grand Cru;20;A very soft scent of pear rises from the glass. Richly textured wine, full of ripe and spicy fruit, the acidity just a hint behind the dried honey and watermelon flavors. The Hatschbourg vineyard in the southern Alsace village of Voegtlinshoffen is composed of clay and chalk soil on a southeast-facing slope.
Pisoni Vineyard;20;Pretty notes of black-cherry blossom and fruit are bolstered by black pepper, dried violets, deep red roses and a touch of cinnamon on the nose of this wine from the region's most famous vineyard. Rich red cherries, raspberries, red currants, concentrated rose petals and hibiscus are cut with an edge of eucalyptus oil, chipped slate and purple sage on this stellar bottling from this producer's 25th vintage. This Pinot is pretty extracted, but the flavors are addictively good, offering a cornucopia of raspberries, cherries, blackberries, tangerines and cola, with complex nuances of sassafras, orange Pekoe tea, cola and dusty spices.
Heiligenstein Reserve;20;A very slight citrus lift, edged with ripe pineapple, on the nose announces a precise palate of lusciously ripe flavors: sun-ripened yellow mirabelle plums nestle alongside ripe oranges and clementimes. There is a citrus purity on the nose that suggests fresh lemon juice, but it is tempered by some spice, like that of still-green Seville orange rind. Clean-cut and zesty with the tang of grapefruit peel, a concentrated midpalate and a refreshing dryness, this Riesling shows elegance, power and lip-smacking lemon finish.
Small Lot Blend;20;This Merlot has good plum and cherry flavors up front and is straightforward enough to pair with just about any food, but the finish falls a bit flat. This has a relatively light, traditional color with a brownish rim, complex aromas of cedar and bay leaf, with dry, mature flavors supported by firm acidity and tannins. Nicely balanced, full of tasty fruit flavors, and accented by light vanilla and nutmeg, this is a seamless wine that has lots of appeal.
Aliwen Reserva;20;However, on the nose, palate and finish you'll find a briny, almost pickled character to go with aromas of citrus fruits, flavors of melon and apple, and finishing notes of melon and lime. The mouthfeel is racy, while flavors of lime, passion fruit and grapefruit finish zesty and with green, herbal notes of thyme and oregano. Plum, cherry and pomegranate flavors drive this in the direction of red fruits, while the finish is a little woody, dry and peppery.
Demi-Sec;20;This wine succeeds because it has kept a dry background as well as strong minerality, so the almond-perfumed character of the wine is beautifully restrained and delicate. From old vines, up to 45-years-old, the wine is attractively off dry, retaining plenty of acidity as well as gaining touches of honey and creamed apples. This would work perfectly with the usual Champagne food suspects: foie gras, triple-cream cheeses and pâté, though it’s probably not the best choice for oysters.
Ravera;20;From the celebrated Ravera cru, Elvio Cogno delivers a classic and elegant expression of Nebbiolo with tight tannins, long aging potential and nuanced aromas of small berry fruit, cola, leather, licorice and smoky cedar tones. Firmly structured and youthfully austere, the palate delivers red cherry, raspberry compote, anise and clove framed in vibrant acidity and tightly-woven tannins that give it a firm finish. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs.
Hengst Grand Cru;20;There is a luminous quality to this wine, shining its way ahead into the future, guided by a seam of freshness and focus on the midpalate, echoing with bitter almond and more fruit. The palate has the same streamlined citrus focus and just homes in on that sleek dry apple freshness that seem to be a dynamic force at the center of this wine. That zesty notion remains a constant fixture on the very rich medium-sweet palate, countering the luscious richness of the fruit which shines with honeyed peach, juicy pear and ripe tangerine.
Camp 4 Vineyard;21;Strong white flower aromas, from honeysuckle to jasmine to tuberose, meet with fresh apple blossoms and tropical elements of banana and coconut on the nose of the bottling, a blend of 60% Marsanne, 38% Roussanne and 2% Grenache Blanc. The palate shows a touch of peach on the first part of the sip before delving into pungent grassiness that continues through the finish, all complemented by a wet stone frame. There is great lime peel and yellow grapefruit tension to the palate, which is linear and acid-driven, and possesses a chalky texture as well as warmer yellow pear flavors.
Rincon Vineyard;21;There's intensely sharp fruit character on the nose of this bottling from a single clone and block in this historic vineyard, with candied raspberry and pomegranate aromas that are leveled by Early Grey tea and pressed purple flowers. Salted peach, vanilla-smeared French toast and a hint of guava make for a very powerful aromatic impression on this wine from the Arroyo Grande appellation at the southern end of San Luis Obispo County. Riper and fruitier than last year's release, a big, juicy wine that rewards the palate with layers of blackberry and cherry on top of the usual cola, tomato and rhubarb flavors.
Sanct Valentin;21;The aromas carry over to the firm palate along with butterscotch and a mineral note but it doesn't have quite enough fruit richness to stand up to the dominant oak sensations. This opens with aromas of acacia flower, lime and a whiff of flint while the savory palate delivers Golden Delicious apple, ginger and citrus zest. The cool mountainous climate of the Dolomites has shaped a fragrant and elegant wine with tons of exotic fruit, white pepper, dried sage and tangerine.
Rocche dell'Annunziata;21;The vibrant palate displays classic Nebbiolo flavors of crushed dark cherry, clove, cinnamon, truffle, sage, thyme and licorice alongside brisk acidity and bracing but noble tannins. This traditionally crafted single-vineyard Barolo shows the forward nature of the vintage but is an excellent effort, with overripe berry, truffle and forest floor aromas. From the Rocche dell'Annunziata subzone, this well-priced Barolo offers beautifully vibrant aromas of cherry cola, chopped mint, violets and light shadings of exotic spice.
Max Reserva;21;Despite showing dusty plum and cherry aromas, this comes across lean on the bouquet, a defining characteristic that's confirmed on the palate via zesty, crisp acids and raw, tangy, herbal red-fruit flavors. Flavors of grapefruit and passion fruit lead the way, with a backing of green bean and mild bell pepper controlling a crisp, fresh finish. Flavors of orange peel, white grapefruit and passion fruit turn more pithy and pyrazinic on the finish, which keeps its juicy ripeness without turning green.
Edición Limitada;21;"Plum, blackberry and rubber aromas are solid, but the real star is the palate, which is smooth and thick, with lush dark fruit flavors and a smoky background. This wine is much better; it is still a bit saucy on the nose, and there's a touch of that herbal essence that gets into so many Chilean reds. In the mouth, however, there's more pulse than the nose indicates, as tomato-like acidity drives the palate toward a mix of cherry tomato, red plum and oak flavors."
Millésime Brut;21;This retains so much freshness, with just a hint of toast showing at the back of a wine that otherwise projects minerality, a tight structure and intense citrus acidity. Definitely dry, the wine, not from a classic vintage year, seems still young and all fruit, so it would be worth aging for 3–4 years. It has weight and concentration, and its acidity is balanced by the ripe orange and red apple flavors that are cut by a steely edge.
